,year,country,continent,population,fertility,life expectancy
443,1952,Costa Rica,North America,1015875.0,6.68,57.19
445,1952,Croatia,Europe,3922675.0,2.8,61.08
446,1952,Cuba,North America,6180031.0,4.22,59.12
447,1952,Cyprus,Europe,506627.0,3.73,66.58
448,1952,Czech Republic,Europe,9106227.0,2.71,66.94
449,1952,Denmark,Europe,4345218.0,2.54,70.82
450,1952,Djibouti,Africa,64748.0,6.31,41.89
451,1952,Dominican Republic,North America,2517258.0,7.59,46.5
452,1952,Ecuador,South America,3655012.0,6.71,48.64
453,1952,Egypt,Africa,21904478.0,6.62,40.72
454,1952,El Salvador,North America,2278305.0,6.27,45.06
455,1952,Equatorial Guinea,Africa,232757.0,5.5,34.9
456,1952,Eritrea,Africa,1184694.0,6.96,36.75
457,1952,Estonia,Europe,1125245.0,2.07,61.13
458,1952,Ethiopia,Africa,18819634.0,7.2,33.41
459,1952,Fiji,Australia and Oceania,304813.0,6.59,51.85
460,1952,Finland,Europe,4095130.0,3.06,66.56
461,1952,France,Europe,42365756.0,2.76,67.46
464,1952,Gabon,Africa,477711.0,3.97,36.34
465,1952,Gambia,Africa,276771.0,5.27,32.33
466,1952,Georgia,Europe,3646321.0,3.01,60.36
467,1952,Germany,Europe,70421462.0,2.11,67.4
468,1952,Ghana,Africa,5191221.0,6.42,42.22
469,1952,Greece,Europe,7706022.0,2.29,65.72
471,1952,Grenada,North America,77135.0,5.69,56.39
474,1952,Guatemala,North America,3330548.0,7.05,42.44
475,1952,Guinea,Africa,3185537.0,5.99,33.44
476,1952,Guinea-Bissau,Africa,552032.0,7.59,40.03
477,1952,Guyana,South America,435850.0,5.58,57.68
478,1952,Haiti,North America,3331582.0,6.3,37.22
479,1952,Honduras,North America,1568424.0,7.5,42.39
481,1952,Hungary,Europe,9595219.0,2.72,64.05
482,1952,Iceland,Europe,147681.0,3.82,72.57
483,1952,India,Asia,388515758.0,5.9,35.76
484,1952,Indonesia,Asia,72309902.0,5.46,37.93
485,1952,Iran,Asia,17933356.0,6.91,40.92
486,1952,Iraq,Asia,6065012.0,7.44,36.58
487,1952,Ireland,Europe,2924222.0,3.41,67.52
488,1952,Israel,Asia,1451493.0,4.32,65.04
489,1952,Italy,Europe,47398599.0,2.37,65.93
490,1952,Jamaica,North America,1468361.0,4.13,59.06
491,1952,Japan,Asia,85174909.0,3.1,63.02
492,1952,Jordan,Asia,542123.0,7.39,46.45
493,1952,Kazakhstan,Asia,7041605.0,4.39,55.15
494,1952,Kenya,Africa,6412380.0,7.45,42.71
495,1952,Kiribati,Australia and Oceania,34283.0,6.02,42.65
496,1952,North Korea,Asia,10049026.0,3.25,24.76
497,1952,South Korea,Asia,19566860.0,4.89,40.02
498,1952,Kuwait,Asia,173622.0,7.21,54.13
501,1952,Latvia,Europe,1965114.0,2.0,61.88
502,1952,Lebanon,Asia,1392725.0,5.74,60.04
503,1952,Lesotho,Africa,754849.0,5.84,42.11
504,1952,Liberia,Africa,957864.0,6.26,33.36
505,1952,Libya,Africa,1152277.0,7.25,37.73
506,1952,Lithuania,Europe,2578522.0,2.71,64.52
507,1952,Luxembourg,Europe,299499.0,1.95,65.71
510,1952,Madagascar,Africa,4256120.0,7.3,37.28
511,1952,Malawi,Africa,3065030.0,6.78,36.62
512,1952,Malaysia,Asia,6433161.0,6.23,54.72
513,1952,Maldives,Asia,75189.0,5.94,34.18
514,1952,Mali,Africa,4811198.0,6.47,27.71
515,1952,Malta,Europe,313192.0,4.16,66.17
517,1952,Mauritania,Africa,691807.0,6.3,38.53
518,1952,Mauritius,Africa,521190.0,5.9,49.61
520,1952,Mexico,North America,29711632.0,6.69,50.37
522,1952,Moldova,Europe,2432096.0,3.5,58.96
523,1952,Mongolia,Asia,807926.0,5.54,43.41
524,1952,Montenegro,Europe,410511.0,4.05,59.59
525,1952,Morocco,Africa,9529540.0,6.58,46.21
526,1952,Mozambique,Africa,6503106.0,6.6,32.92
528,1952,Namibia,Africa,504552.0,5.99,41.49
529,1952,Nepal,Asia,8823022.0,5.99,36.0
